,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Blooming,EVI_Podding,PDSI_Podding,PDSI_Dropping leaves,PDSI_Harvest,PIC
22274,2012,north dakota_traill,2.33184,-3.102666848160786,-3.50359682148122,-4.133018630484767,0.5612358053213815,-4.451826675126336,-5.04621635572469,-5.582444483074259,0.0476323656011789
22316,2012,north dakota_benson,2.16384,-1.2341556411739996,-1.441340138185224,-1.918569546597279,0.4795678423577632,-2.311609127971617,-2.8449248781885244,-3.3580801671933163,0.0476323656011789
22348,2012,north dakota_bottineau,1.86144,-0.2101133966051759,-0.2827363074988114,-1.481569488645358,0.4646107956328471,-2.097493640216239,-3.033371132225645,-3.5487102813870286,0.0476323656011789
22380,2012,north dakota_mchenry,1.80768,-1.386536291967854,-1.2794008004601882,-1.6733605331095176,0.4601501686799671,-2.013600168271007,-2.8808804997274,-3.4127546779007787,0.0476323656011789
22400,2012,north dakota_pierce,2.04288,-0.399380144770134,-0.6102409357022833,-1.5003977064051357,0.4770610422355668,-1.9285551180058933,-2.8139134451344328,-3.384689336790376,0.0476323656011789
22423,2012,north dakota_rolette,1.95552,-1.630389522318639,-1.7552266872248885,-1.803256680606121,0.4639283540596275,-2.176740032046234,-2.526586886718964,-3.086922075404366,0.0476323656011789
22445,2012,north dakota_cavalier,2.17728,-2.082180565502007,-2.1741308139880915,-2.2799292989426263,0.5011131612347316,-2.4597277146983525,-2.8580890417099,-3.418214630082016,0.0476323656011789
22481,2012,north dakota_grand forks,2.49984,-2.773749811464765,-3.136442520447064,-3.988259282260899,0.5403685556660002,-4.319158605160119,-4.688319495466272,-5.183432277250818,0.0476323656011789
22523,2012,north dakota_nelson,2.19072,-2.751294573839653,-3.020640869249461,-3.7426248136668674,0.4541022630754149,-4.059451139211315,-4.37915942842372,-4.8068801625138855,0.0476323656011789
22564,2012,north dakota_pembina,2.51328,-2.206010429465826,-2.3511666132162587,-2.920791394302582,0.5221684838697682,-3.112804160068563,-3.7162864542317817,-4.245858727162197,0.0476323656011789
22606,2012,north dakota_ramsey,2.74176,-2.2583240119277845,-2.487628825056233,-2.9453932403186185,0.4675145706109886,-3.2616706889756406,-3.2452487517955606,-3.6451174823035855,0.0476323656011789
22641,2012,north dakota_towner,2.34528,-1.720206726410895,-1.92421328671356,-2.0879565184090936,0.4987134107011843,-2.447561101692441,-2.6077399503607746,-3.1246316553824647,0.0476323656011789
22679,2012,north dakota_walsh,2.3856,-2.547865587067889,-2.830416194500711,-3.6446814007011263,0.5283550045882096,-3.909442189326713,-4.344204110228088,-4.865369122560349,0.0476323656011789
22717,2012,north dakota_renville,1.92864,-0.1095827586640644,-0.0398002794482738,-0.4970970445879856,0.4614950281074335,-1.282685455854201,-2.63942938354318,-3.189664719108168,0.0476323656011789
22737,2012,north dakota_ward,2.19072,1.1618181737986475,1.139772740277377,0.4404545561833815,0.4720156044899355,-0.5945454497228969,-2.5595454194329,-3.107045487924056,0.0476323656011789
22789,2012,north dakota_emmons,2.41248,-1.822731253071504,-1.838202110865043,-2.40374448803553,0.4825223086252461,-2.6122356835703497,-3.0333067103892173,-3.449677842435333,0.0476323656011789
22822,2012,north dakota_dickey,2.29824,-2.1686880830664537,-2.267602051779809,-3.0850984128338164,0.5510719460500138,-3.2832933217373634,-3.850807321056039,-4.320867596160595,0.0476323656011789
22911,2012,north dakota_ransom,2.84256,-1.9122369392456813,-2.2078522619597494,-2.934248674450088,0.553195859202039,-3.2000317586765306,-3.4473899882945105,-4.029428848674485,0.0476323656011789
22952,2012,north dakota_richland,2.7216,-1.8490255137561136,-2.0571404231649737,-2.658469940640091,0.6242595835996438,-2.906818417563428,-3.1259669921340305,-3.716983236673472,0.0476323656011789
22994,2012,north dakota_sargent,2.42592,-1.8699152645612305,-2.11948523866584,-2.8003548999125982,0.5509553964141062,-3.010115642099745,-3.464541668745796,-3.9962143937979016,0.0476323656011789
23055,2012,ohio_fairfield,2.66112,2.8528031379894294,2.6710489029883884,-0.7328375900507043,0.5639144257395845,-2.8962360042420885,-3.3446894691188738,-3.276621233322869,0.0147683080976666
23173,2012,ohio_knox,3.03744,2.158798038341233,2.005240420600697,-1.563078190837884,0.6894451216269473,-2.58481706547276,-2.870718393266987,-2.370493401239859,0.0147683080976666
23215,2012,ohio_licking,2.87616,2.4643915414695496,2.30524771702066,-1.185776345789461,0.6409541579624553,-2.698614002237416,-3.0680553027561728,-2.71628761961232,0.0147683080976666
23257,2012,ohio_madison,2.6208,2.369363598551644,2.170267938032353,-1.1533760970145617,0.640997110931762,-2.8773717570391866,-3.834845313504248,-3.692410413250183,0.0147683080976666
23299,2012,ohio_marion,3.0912,3.0097657783218508,2.7934802103087915,-0.5802288678428441,0.5859944669030326,-2.880630819863112,-3.441335568774928,-2.666149041631701,0.0147683080976666
23339,2012,ohio_morrow,3.25248,2.618983856407372,2.437174291964753,-1.0642935581998298,0.6393489353932178,-2.7335093136491446,-3.202017070788633,-2.365609199084566,0.0147683080976666
23380,2012,ohio_pickaway,2.49312,2.3682472948952324,2.1833739602376547,-1.5773584233314275,0.5843866919425342,-3.0515514513424464,-3.779866700127012,-3.857314000614106,0.0147683080976666
23422,2012,ohio_ross,2.66112,2.1115054474882524,1.962866661889212,-1.618203388079494,0.6460709498669965,-2.795708167844889,-3.5239918373717742,-3.583138777317643,0.0147683080976666
23464,2012,ohio_union,2.98368,2.733228158923513,2.501034560885528,-1.003885657047265,0.6717580072245055,-2.9729652157487925,-3.645435185939736,-3.0337057306999005,0.0147683080976666
23625,2012,ohio_ashland,2.76864,2.8677205733376336,2.6062942727557954,0.1951611098069333,0.5416041811260996,-2.1982884556291222,-3.417546175676115,-2.7839117744141504,0.0147683080976666
23665,2012,ohio_crawford,2.87616,2.93827880228504,2.724858823172476,-0.7552857234255077,0.5561311241784772,-2.9509666795688103,-3.4010370858024914,-2.568216685352199,0.0147683080976666
23707,2012,ohio_erie,3.18528,3.5054406216353926,3.2348724055601736,1.4673913579079851,0.5259181707601723,0.3936120871804253,-0.4300516494245596,-0.2335247591395973,0.0147683080976666
23747,2012,ohio_huron,3.0172799999999995,3.2648222314147244,2.981126915994819,0.9027169055016028,0.5811482413781934,-1.1662493953729367,-3.2448222107902662,-2.702672713648609,0.0147683080976666
23788,2012,ohio_lorain,3.25248,3.305919767692876,3.0114578129069565,1.359652493679146,0.6064410472495043,0.3210754819670278,-2.91916757610177,-2.226006493400097,0.0147683080976666
23830,2012,ohio_ottawa,3.5616,4.406530266621716,4.176275545855845,2.544295072544499,0.5326779680187429,1.8509736561072896,1.0848321000657666,0.2137858283773169,0.0147683080976666
23872,2012,ohio_richland,2.95008,2.8352458745149574,2.6108312414624435,-0.5197932491441722,0.5613810391207911,-2.796283528196243,-3.4517825719996456,-2.800241686106061,0.0147683080976666
23911,2012,ohio_sandusky,3.48768,3.992495842488492,3.74973814009645,1.950107177008303,0.5553497323486463,1.1218532751843595,-0.6906833658455485,-0.7850812354824052,0.0147683080976666
23953,2012,ohio_seneca,2.57376,3.613958121804837,3.345136878190196,1.0722458758552544,0.5328174388514801,-0.95441338145831,-3.2172375297194464,-2.635494848928932,0.0147683080976666
