,Year,sta_con,yield(t/ha),PDSI_Planting,PDSI_Emerging,PDSI_Silking,PDSI_Dough,PDSI_Dent,PDSI_Maturity,PDSI_Harvest,PIC
5214,2016,indiana_miami,10.4866188064,-0.2016530502437911,-0.0522315246651202,-0.5666972721614749,-0.9265100431478208,-1.1395539611333858,-0.5794144350103445,0.0020132243833803,0.0250650271931898
5253,2016,indiana_wabash,11.1200808276,-0.5708446109368905,-0.4129365385819756,-0.545636470871123,-0.6953268355333221,-0.6183734688405887,0.2117324158190451,0.8187404388749818,0.0156941039702797
5295,2016,indiana_adams,10.003682414,2.3191974137672062,2.227087367142754,1.1044077469614044,0.2821120741826364,-0.8769425288116794,-0.5626563220394067,0.23644539104796,0.0001471410494099
5336,2016,indiana_allen,9.9033319948,0.953539864295066,0.989417822009226,0.0161834901779752,-0.816767957644816,-1.4811020610483778,-1.2179495414439871,-0.2291265331117566,0.0009593454729754
5377,2016,indiana_de kalb,9.1820633568,-1.7047381559174553,-1.5181498241851836,-1.8336709595575773,-2.167848721422175,-2.460601425751992,-2.419441564698374,-2.183892460812592,0.0473306693802586
5460,2016,indiana_lagrange,8.4106195092,-1.633157116386817,-1.4882526190338652,-1.900259909321808,-2.1873789156579337,-2.269990156469769,-1.869054433720439,-1.6328155338693773,0.4092445347451501
5502,2016,indiana_noble,9.8531567852,-0.6035614115064422,-0.3833495184894904,-1.3392902949626009,-1.6711550230366514,-1.9057275078597573,-1.7060355985357536,-1.3620184437433878,0.1754312823461759
5542,2016,indiana_steuben,9.2573261712,-2.1877519219971333,-2.04691427542782,-2.181235722239241,-2.430853582698309,-2.6142059449831176,-2.503970490440502,-2.381964122880007,0.2249671354515465
5622,2016,indiana_whitley,10.1103047344,-0.3611666813062933,-0.2495784784101654,-0.4723293719328753,-0.7526025263586792,-0.8517359049437635,-0.1183576821438492,0.7432485003998534,0.0220754591429331
5664,2016,indiana_benton,12.4936271904,2.3212601092336635,2.1775499872676,1.7816882965015384,2.036103292754808,2.4558006780300508,3.033407614744258,3.1572037338091583,0.0402364468197093
5706,2016,indiana_jasper,11.2956940612,1.650394680886644,1.525495698565155,-0.414334105772172,-0.2235239535017762,0.6235338962886599,1.621611967370273,1.935931527852363,0.093960761445857
5746,2016,indiana_lake,11.1263527288,1.1463221050758068,1.071441327963054,-0.4256079764920664,-0.0865716859414644,0.9491408867373264,1.8252622550715856,2.159563533664942,0.0798451743903212
5785,2016,indiana_newton,12.8385817564,1.7456997923021764,1.617262747157931,0.7834953829535543,1.052223650159493,1.7187695999418675,2.55117181845148,2.80478142246978,0.0360480810858991
5827,2016,indiana_porter,10.869204779600002,1.8612287746962737,1.8311050514698208,0.5861562911229412,0.6245200496374712,1.2064050449266663,1.8475800395054565,2.0170431352408,0.1208681135225375
5869,2016,indiana_pulaski,9.9597791056,1.3038198920244874,1.2303137112853884,-1.001979139033622,-1.0985385597544892,-0.6942284022167317,0.5920180795168218,1.272885641729909,0.1627911679068262
5910,2016,indiana_starke,8.9500030124,1.845514971437212,1.849091011397616,0.7078449113743971,0.5088878163312396,1.016878639200253,2.041733336595005,2.3302303574613465,0.3352680510904509
5950,2016,indiana_white,11.8664370704,1.7479240678793304,1.586685308481777,0.2567824668038883,0.5188901946474082,1.0305636262527258,1.7280415936360214,2.043138290235268,0.0254613225998469
5991,2016,indiana_harrison,9.395307997600002,2.8299999237060547,2.863333225250244,2.865000009536743,3.2216666539510093,3.703333377838135,3.8516666889190674,3.515000025431315,0.0989850689400095
6032,2016,indiana_jackson,10.1040328332,1.8321160418988345,1.7943780851994822,1.3880795975428737,1.587053052559528,2.106176254210385,2.563962702712894,2.50043097479876,0.1372538659339885
6070,2016,indiana_lawrence,9.0691691352,2.236250013113022,2.31083337465922,2.806250035762787,3.1558334032694497,3.962500055631002,4.402500073115031,3.9816667238871255,0.0989850689400095
6140,2016,indiana_orange,10.179295647600002,2.46657444576332,2.5039444022845987,2.877448076632485,3.155745167817848,3.667965640140873,3.8772928841104233,3.464935099230218,0.0989850689400095
